代碼,面向,重大議題,重點定義 (人工編碼參考_已調整),關聯關鍵字 (人工編碼參考_已調整),完整定義 (大型語意模型用_尚未修正)
F0040,環境,原物料風險,原物料風險是指企業在採購、儲存、運輸、使用或處理原料時可能遭遇的損失、損害或負面影響的風險。,原物料風險/原料輸儲風險/原料價格風險/原物料供應風險/原料與產品運輸風險/原物料來源風險/原料採購風險,原物料風險是指企業在採購、儲存、運輸、使用或處理原物料過程中所面臨的各種損失、損害或負面影響的可能性，這可能包括價格波動、供應中斷、品質問題等。（一）價格風險：價格波動、匯率波動（二）供應風險：過度依賴單一供應商、供應商倒閉或破產（三）品質風險：品質問題（四）儲存風險：存儲環境不符合要求（五）使用風險：使用過程中的錯誤操作、原物料廢棄物處理不當。
F0041,環境,作業風險,作業風險是指所有因內部作業、人員及系統之不當與失誤，或其他外部作業與相關事件，所造成損失之風險。,作業風險/產能風險/製程風險/流程管理風險,「作業風險」定義為「肇因於不適當或失敗的內部作業流程、人員與系統、或由外部事件而造成損失之風險」。 相關因素包括：內部舞弊、外部詐欺、聘僱作業與職場安全、客戶與商品及經營實務、資產設備毀損、營業中斷與系統失效、執行與交接及流程管理等。（一）內部舞弊：資產挪用、貪污和賄賂。（二）外部詐欺：供應商詐騙、客戶詐騙。（三）供應鏈管理風險：供應鏈中斷、供應商管理不當（四）產能風險：產品瑕疵、產品安全問題。（五）流程管理風險：流程設計缺陷、流程執行失誤。
F0042,環境,環境風險,環境風險指企業經營活動對環境生態造成損害的程度。,環境風險/一次性塑料使用風險/環境變遷風險/生態風險,是指「危害發生的機率與危害嚴重程度的組合」，這意味著評估環境風險時需要考慮事件發生的可能性以及對環境的嚴重影響。（一）水質污染（二）空氣污染（三）土壤污染（四）生態系統破壞（五）健康風險：人體健康受到影響（呼吸道疾病、癌症等）（六）社會影響：生活質量下降（七）經濟損失：農作物減產、水資源短缺、基礎設施損壞。
F0043,環境,污染風險,污染風險指企業經營活動所產生的廢棄物對環境生態造成損害的程度。,污染物洩漏風險/廢氣排放風險/環境污染風險/空污與溫室氣體排放風險/環境污染管理風險/水污染防治風險,污染風險是指人類暴露於污染物後，可能導致健康或環境損害的機率。 污染物可能來自各種來源，例如工業排放、交通工具、農業活動或自然災害。（一）空氣污染風險：煤煙、顆粒物 (PM2.5、PM10)、公共交通和貨運排放（二）水污染風險：有毒化學物質（如苯、酚類、重金屬）、化肥和農藥的洩漏（三）土壤污染風險：重金屬積累（如鉛、鎘、汞）、農藥殘留（四）噪音污染風險：工廠和機械運行產生的噪音、公路交通、鐵路和航空噪音（五）放射性污染風險：核電廠運行、醫療設備。
F0044,環境,事故、緊急應變,事故、緊急應變是指任何非預期的事件，導致企業人員傷亡或財產損失的風險。,交通意外風險/災害事故風險/緊急事件風險/人為事故風險/恐怖分子風險/重大突發事件風險/緊急事件風險,事故是指任何非預期的事件，導致人員傷亡、財產損失或環境污染。它可以是自然災害、工業事故、交通事故或任何其他導致損害的事件。緊急應變是指在事故發生後採取的行動，以保護生命、財產和環境。它包括評估情況、提供急救、疏散人員和控制損害等措施。
F0045,環境,水資源風險,水資源風險是指水資源的穩定供應受到威脅，可能導致水資源短缺或品質下降，進而造成企業損失的可能性。,水資源風險/地層下陷及乾涸風險/水災及缺水風險/水資源管理風險/水資源短缺實體風險/供水風險,水資源風險是指水資源供應受到威脅，可能導致水資源短缺或品質下降，進而造成經濟、社會和環境損失的可能性。 簡單來說，就是水資源可能無法滿足人類需求的風險。（一）水資源短缺風險：長期無雨或降雨量減少、地下水過度開採、水需求增加（二）水質下降風險：工廠廢水排放、農藥和化肥流入水體（三）社會經濟風險：城市和農村地區的用水差距（四）健康風險：飲用水安全。
F0046,環境,工程管理風險,工程管理風險是指在工程專案執行過程中，可能發生的不確定事件或狀況，導致專案目標無法達成或遭致損失。,工程管理風險/營建管理風險/工程進度風險,工程管理風險是指在工程專案執行過程中，可能發生的不確定事件或狀況，這些事件或狀況可能會導致專案目標無法達成，或造成損失。（一）計畫與時間管理風險：工期延誤、計畫不周（二）預算與成本管理風險：成本超支、預算不足（三）技術與工程風險：技術失誤、設備故障（四）法律與合規風險（五）環境與社會風險：環境污染。
F0047,環境,能源風險,能源風險是指能源系統的穩定供應與成本面臨不確定性、替代能源發展不如預期，進而造成企業損失的可能性。,能源風險/能源價格風險/能源節約風險/能源轉型風險/再生能源風險/能源管理風險/能源短缺風險,涵蓋各種能源來源，包括化石燃料、核能、再生能源等。其中，化石燃料的燃燒會產生大量溫室氣體，造成氣候變遷；核能則有放射性物質泄漏的風險；再生能源雖然相對乾淨，但仍可能造成土地利用改變或生態破壞。（一）化石燃料造成的風險：溫室氣體排放（如二氧化碳）、石油洩漏和海洋污染。（二）核能造成的風險：放射性物質洩漏風險、核廢料處理和長期儲存問題。（三）再生能源造成的風險：水壩建設對河流生態系統的影響、太陽能電池板製造過程中的化學污染等等。
F0048,環境,運輸物流風險,運輸物流風險是指在貨物運輸過程中可能發生的各種不確定事件，導致貨物損壞、延誤或其他損失。,運輸風險/產品運輸風險/運輸安全風險/運輸管理風險/物流風險/供應鏈運輸風險,運輸物流風險是指在貨物運輸過程中可能發生的各種不確定事件，這些事件可能會導致貨物損壞、延誤或其他損失。這些風險可能來自於自然災害、交通事故、政治動盪、經濟波動等因素。（一）自然災害風險：強風和暴雨導致船舶、飛機和車輛受損（二）交通事故風險：車輛碰撞、貨物掉落或損壞（三）環境風險：危險品洩漏導致環境污染（四）供應鏈風險：原材料或部件供應不及時、貨物存儲不當導致損壞。
F0049,社會,人力資源風險,人力資源風險是指企業面臨人力資源供給不足、勞動力成本大幅度上升、員工人力不穩定的風險，也包括企業由於經營管理不善或制度缺陷，導致員工對企業利益造成損害的可能性。,人權風險/人力資源風險/人才招募及流動風險/人力缺口風險/員工風險/勞工風險/勞動力短缺風險/高階人才流動風險/勞資風險,人力資源風險是指企業在人力資源管理過程中，由於經營管理不善或制度缺陷，導致員工對企業利益造成損害的可能性。（一）人權風險：企業在業務運營中可能涉及侵犯或影響到人權的各種潛在問題和風險。例如：不當工作條件或工資不公正的問題。（二）公司治理風險：公司內部不當行為或濫用權力對員工造成的傷害。（三）資料隱私風險：個人資料保護不力導致的隱私侵犯風險。（四）員工滿意度和工作效能：員工士氣下降可能導致的生產力損失。
F0050,社會,政治與社會風險,政治與社會風險是指可能對企業所在地的政治體系或社會結構造成負面影響的事件或情況。,政治風險/人口結構風險/國家風險/社會風險/社會變遷風險,政治與社會風險是指可能對政治體系或社會結構造成負面影響的事件或情況。這些風險可能源於自然災害、經濟危機、社會動盪或政治不穩定等因素。 （ㄧ）政治動盪：政府變動或政治不穩定、政治衝突或示威活動（二）法律和規範變更：法律改革或新規範對企業營運的影響、法律執行不公或不一致的風險、（三）社會不安：社會不滿或種族、宗教、性別歧視問題、社會運動或抗議活動（四）公共健康危機：流行病或公共健康事件對社會和經濟的影響、公共健康政策變化的風險（五）社會資本和公眾信任：企業社會責任或公共形象受損的風險、公眾對企業不信任或反對的情況（六）人權和社會公義：人權侵犯或社會公義缺失的風險、社會不平等問題和企業的責任。
F0051,社會,科技變化風險,科技變化風險是指因科技快速發展而產生的不確定性，可能導致企業面臨新的挑戰和威脅。,科技風險/金融科技風險/數位科技風險/科技改變及產業變化風險/科技產業變動風險/創新式科技風險,科技變化風險是指因科技快速發展而產生的不確定性，可能導致企業面臨新的挑戰和威脅。這些風險包括：（一）新技術的出現：新技術的出現可能會取代舊技術，導致企業需要重新調整其營運模式。（二）市場競爭的加劇：新技術的出現也可能導致市場競爭加劇，企業需要更加努力才能維持其競爭優勢。（三）法規的變化：政府可能會制定新的法規來規範新技術的使用，企業需要遵守這些法規才能避免法律問題。
F0052,社會,客戶服務風險,客戶服務風險就是指在幫客戶解決問題或提供服務時，可能會遇到的一些麻煩，比如客戶不滿意、服務系統壞掉、送貨延遲、收費問題、客戶不再回來、技術支持不到位，或法律問題等。,客戶信用風險/客戶集中風險/客戶服務風險/消費者投訴風險/客戶權益風險/客訴風險/客戶管理風險/客戶放帳風險/客戶交易風險,客戶服務風險是指在提供客戶服務過程中可能發生的損失或負面影響。這些風險可能來自各種來源，包括客戶、流程、技術和外部環境。（一）服務質量風險：客戶投訴或不滿意度高（二）服務運作風險：客戶信息管理不當導致的資料遺失或洩露。（三）產品或服務交付延誤風險（四）客戶關係管理風險：客戶流失率增加的風險。
F0053,社會,產品安全風險,產品安全風險是指產品可能對人身安全、健康、環境以及產品本身造成的危害。,產品責任風險/產品製造風險/貨物安全風險/食品安全風險,產品安全風險是指產品可能對人身安全、健康、環境以及產品本身造成的危害。它可以分為以下幾類：人身安全、健康、環境和產品本身的安全。產品安全風險的目標是降低產品的風險，使其符合顧客的安全標準。（一）人身安全風險：使用產品時的物理傷害、（二）健康風險：長期使用產品對健康的潛在危害（三）環境風險：產品在生產、使用或處置過程中對環境的污染。（四）產品自身風險：產品使用壽命過短或性能不穩定。（五）使用風險：產品說明書不清晰或使用方法不當。
F0054,社會,利害關係人議合失誤,利害關係人議合失誤指的是未能有效地讓各利害關係人進行溝通、參與和提供意見，可能導致關鍵利害關係人對決策不滿或無法接受。,信任風險/利害關係人交易風險/利害關係人溝通風險/利害關係人訴訟風險,「利害關係人議合」（Stakeholder Engagement）是企業在做永續策略規劃過程中一個非常重要的環節。企業透過多元途徑、廣泛地蒐集各「利害關係人」群體的關注焦點與期待，不僅是氣候變遷（Climate Change）或是生物多樣性，將ESG相關指標進行評估，以鑑別出何者是企業的「重大性議題」（Materiality），再進行風險管理與規劃營運方針。在管理和決策過程中，利害關係人議合失誤指的是未能有效地讓各利害關係人進行溝通、參與和提供意見，可能導致關鍵利害關係人對決策不滿或無法接受。（一）溝通不足：未能及時傳遞信息給所有利害關係人（二）利益衝突處理不當：未能平衡不同利害關係人之間的利益和需求（三）決策過程透明度不足：決策過程不透明，缺乏公開和公正性。
F0055,社會,疾病風險（包含COVID-19風險）,疾病風險是指由於人身所患疾病或因疾病威脅而帶來的企業經營損失的風險。,新冠疫情風險/健康風險/感染風險/流行性疾病傳染風險/傳染病風險/疾病風險/疫疾控管風險/公共衛生風險,疾病風險狹義上是指由於人身所患疾病而帶來的經濟、生理、心理等損失的風險；廣義的疾病風險則包括人身的疾病、生育以及傷害等方面存在或引起的風險。（一）經濟損失：因病缺勤導致的收入損失（二）生理損失：慢性病對生活質量的影響（三）心理損失：患病帶來的壓力和焦慮。
F0056,社會,公共設施風險,公共設施風險通常指供公眾使用的各種基礎設施或建築物可能面臨的損害或威脅，進而可能造成企業損失的風險。,公用設施風險/消防及建築物安全風險/公共危安風險/公共工程延宕風險/公共設施故障風險,公共設施風險通常指供公眾使用的各種基礎設施或建築物可能面臨的損害或威脅，可能包括人員傷亡、設施損壞、經濟損失等方面。（一）人員傷亡風險：意外事故（二）設施損壞風險：因自然、人為、技術故障所導致。（三）經濟損失風險：設施維修或重建費用、設施停運導致的收入損失。（四）社會影響風險：事故或災害導致公眾對公共設施的信任下降、政府或管理機構聲譽受損。
F0057,產業,食品安全衛生,食品安全衛生風險是指企業生產的食品對人體健康所造成危害的可能性。,食安風險/食品安全管理系統風險,為確保食品送達消費者時能有安全及衛生之保障，於食品栽培、採收、獲取、加工及調理等流程中，所採行之各項管制措施。食品衛生，也稱為食品安全，是指以降低消費者感染食源性疾病風險的方式加工、製備和儲存食品或飲料。 食品安全原則旨在防止食品受到污染並引起食物中毒。
F0059,環境,氣候變遷的實體風險（Physical risks）,氣候變遷的實體風險直接由氣候變遷所造成，可能對組織產生財務衝擊，如直接損害資產和中斷供應鏈所導致的間接影響。,氣候變遷實質風險/物理風險/缺水風險/極端氣候事件立即性風險,"氣候變遷影響相關之「實體風險」:立即性風險(Acute Risk)：以單一立即性氣候災害事件為主，如熱浪、乾旱、強降雨、異常高溫或低溫等日趨嚴重之極端氣候事件，可能影響員工的作業環境安全和身體健康,長期性風險(Chronic Risk)：氣候模式之長期變化，如因全球暖化導致洪災、野火、熱浪的發生機率增加，造成企業必須不斷提高其風險管理成本。（一）立即性風險：員工工作效率下降和健康風險增加（二）長期性風險：例如由氣候模式的長期變化，企業需要投資於水資源管理和節水技術。"
F0060,環境,氣候變遷的轉型風險（Transition risks）,氣候變遷的轉型風險指的是企業落實低碳經濟轉型所引起的政策和法規、技術、市場及名譽等風險。,轉型風險/氣候變遷轉型風險/低碳經濟轉型風險/排放交易轉型風險/投資轉型風險,轉型風險對總體經濟的影響，主要係因透過轉型低碳經濟的過程所帶來的衝擊，包括：(1)碳定價(carbon pricing)：若在沒有收入循環(revenue recycling)下，碳定價會傾向增加生產成本，廠商的生產力會下降；(2)環境管制措施會增加廠商短期的營運成本；(3)綠色公共投資與綠色補貼等措施，則有貨幣政策擴張的效果，但也要視其投資及補貼的金額而定；(4)突然地採用氣候變遷減緩政策，則碳密集部門會遭受限制而產生擱淺資產(stranded asset)，進一步對經濟與金融體系有外溢效果。
F0061,環境,生物多樣性風險,生物多樣性風險指的企業營運活動可能造成生物物種的多樣性受到威脅或損害的可能性。,生物多樣性風險,生物多樣性的風險多存在於採礦、林業和農業等產業，其商業行為經常導致環境惡化、供應鏈中斷等，導致企業面臨重大營運風險。因此，企業應主動將生物多樣性納入風險管理。生物多樣性風險分為兩個層面：(一）實體風險：是對有形資產的損害，例如農業因昆蟲授粉減少導致遺傳生物多樣性降低。（二）轉型風險：包括政策、法律和技術變化造成的財務影響，例如許多國家針對生物多樣性規劃新的監管方針，規定特定土地的商業用途、增加稅收等。
F0063,社會,地緣政治風險,地緣政治風險就是指因為不同國家之間的政治情勢或政治衝突，可能對企業、國家或全球經濟產生的風險。,跨國經營風險/地緣政治風險/國家風險/反恐風險/中美貿易戰關稅風險/政治情勢風險/亞太區域經濟風險,地緣政治風險是指由於國際間地緣政治因素，如戰爭、政治衝突、貿易壁壘等所帶來的對企業、國家或全球經濟的風險。（一）戰爭和武裝衝突風險：國際衝突或內戰可能導致財產損失、生命危險以及企業營運中斷。（二）政治不穩定風險：政治騷動、政府更迭或政策變更可能影響企業的運營環境和市場穩定性。（三）貿易壁壘風險：貿易摩擦、貿易限制或貿易戰爭可能導致跨國企業的進出口受阻，影響市場份額和收益。（四）外國投資風險：政府對外國投資的限制或變更可能影響企業的投資計劃和營運策略。（五）外交關係惡化風險：外交緊張局勢或國際關係惡化可能影響企業在該國的運營及未來計劃。
